HomeTeamName,AwayTeamName,Result,HomeAverageGoals,AwayAverageGoals,Home5LastGames,Away5LastGames,Stage,City,Year
France,Yugoslavia,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Paris,1960
Czechoslovakia,Soviet Union,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Marseille,1960
Czechoslovakia,France,Won,Low,High,Bad,Bad,Third place play-off,Marseille,1960
Soviet Union,Yugoslavia,Won,High,High,Good,Good,Final,Paris,1960
Spain,Hungary,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Madrid,1964
Denmark,Soviet Union,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Barcelona,1964
Hungary,Denmark,Won,Mid,Low,Bad,Bad,Third place play-off,Barcelona,1964
Spain,Soviet Union,Won,High,High,Good,Good,Final,Madrid,1964
Italy,Soviet Union,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Naples,1968
Yugoslavia,England,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Florence,1968
England,Soviet Union,Won,Low,Low,Bad,Neutral,Third place play-off,Rome,1968
Italy,Yugoslavia,Draw,Low,Mid,Neutral,Good,Final,Rome,1968
Italy,Yugoslavia,Won,Low,Mid,Neutral,Good,Final,Rome,1968
Hungary,Soviet Union,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Brussels,1972
Belgium,West Germany,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Antwerp,1972
Hungary,Belgium,Lost,Low,Mid,Bad,Bad,Third place play-off,Liège,1972
West Germany,Soviet Union,Won,High,Mid,Good,Good,Final,Brussels,1972
Czechoslovakia,Netherlands,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Zagreb,1976
Yugoslavia,West Germany,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Semi-finals,Belgrade,1976
Netherlands,Yugoslavia,Won,Mid,High,Bad,Bad,Third place play-off,Zagreb,1976
Czechoslovakia,West Germany,Draw,High,High,Good,Good,Final,Belgrade,1976
Czechoslovakia,West Germany,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Rome,1980
Netherlands,Greece,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Naples,1980
West Germany,Netherlands,Won,Mid,Mid,Good,Good,Group A,Naples,1980
Greece,Czechoslovakia,Lost,Low,Low,Bad,Bad,Group A,Rome,1980
Netherlands,Czechoslovakia,Draw,High,High,Neutral,Neutral,Group A,Milan,1980
Greece,West Germany,Draw,Low,High,Bad,Good,Group A,Turin,1980
Belgium,England,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Turin,1980
Spain,Italy,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Milan,1980
Belgium,Spain,Won,Mid,Low,Neutral,Neutral,Group B,Milan,1980
England,Italy,Lost,Mid,Low,Neutral,Neutral,Group B,Turin,1980
Spain,England,Lost,Low,Low,Bad,Bad,Group B,Naples,1980
Italy,Belgium,Draw,Low,High,Good,Good,Group B,Rome,1980
Czechoslovakia,Italy,Draw,Mid,Low,Neutral,Good,Third place play-off,Naples,1980
Belgium,West Germany,Lost,Mid,Mid,Good,Good,Final,Rome,1980
France,Denmark,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Paris,1984
Belgium,Yugoslavia,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Lens,1984
France,Belgium,Won,Mid,High,Good,Good,Group A,Nantes,1984
Denmark,Yugoslavia,Won,Low,Low,Bad,Bad,Group A,Lyon,1984
France,Yugoslavia,Won,High,Low,Good,Bad,Group A,Saint-Étienne,1984
Denmark,Belgium,Won,High,Mid,Neutral,Neutral,Group A,Strasbourg,1984
West Germany,Portugal,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Strasbourg,1984
Romania,Spain,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Saint-Étienne,1984
West Germany,Romania,Won,Low,Mid,Neutral,Neutral,Group B,Lens,1984
Portugal,Spain,Draw,Low,Mid,Neutral,Neutral,Group B,Marseille,1984
West Germany,Spain,Lost,Mid,Mid,Good,Neutral,Group B,Paris,1984
Portugal,Romania,Won,Low,Mid,Neutral,Bad,Group B,Nantes,1984
France,Portugal,Won,High,Low,Good,Good,Semi-finals,Marseille,1984
Denmark,Spain,Draw,High,Mid,Good,Good,Semi-finals,Lyon,1984
France,Spain,Won,High,Mid,Good,Good,Final,Paris,1984
West Germany,Italy,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Düsseldorf,1988
Denmark,Spain,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Hanover,1988
West Germany,Denmark,Won,Mid,High,Neutral,Bad,Group A,Gelsenkirchen,1988
Italy,Spain,Won,Mid,High,Neutral,Good,Group A,Frankfurt,1988
West Germany,Spain,Won,High,High,Good,Neutral,Group A,Munich,1988
Italy,Denmark,Won,Mid,Mid,Good,Bad,Group A,Cologne,1988
England,Republic of Ireland,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Stuttgart,1988
Netherlands,Soviet Union,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Cologne,1988
England,Netherlands,Lost,Low,Low,Bad,Bad,Group B,Düsseldorf,1988
Republic of Ireland,Soviet Union,Draw,Mid,Mid,Good,Good,Group B,Hanover,1988
England,Soviet Union,Lost,Low,Mid,Bad,Good,Group B,Frankfurt,1988
Republic of Ireland,Netherlands,Lost,Mid,High,Good,Neutral,Group B,Gelsenkirchen,1988
West Germany,Netherlands,Lost,High,Mid,Good,Good,Semi-finals,Hamburg,1988
Soviet Union,Italy,Won,High,Mid,Good,Good,Semi-finals,Stuttgart,1988
Soviet Union,Netherlands,Lost,High,High,Good,Good,Final,Munich,1988
Sweden,France,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Solna,1992
Denmark,England,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Malmö,1992
France,England,Draw,Mid,Low,Neutral,Neutral,Group A,Malmö,1992
Sweden,Denmark,Won,Mid,Low,Neutral,Neutral,Group A,Solna,1992
Sweden,England,Won,Mid,Low,Good,Neutral,Group A,Solna,1992
France,Denmark,Lost,Low,Low,Neutral,Bad,Group A,Malmö,1992
Netherlands,Scotland,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Gothenburg,1992
CIS,Germany,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Norrköping,1992
Scotland,Germany,Lost,Low,Mid,Bad,Neutral,Group B,Norrköping,1992
Netherlands,CIS,Draw,Mid,Mid,Good,Neutral,Group B,Gothenburg,1992
Netherlands,Germany,Won,Low,High,Good,Good,Group B,Gothenburg,1992
Scotland,CIS,Won,Low,Low,Bad,Neutral,Group B,Norrköping,1992
Sweden,Germany,Lost,Mid,Mid,Good,Neutral,Semi-finals,Solna,1992
Netherlands,Denmark,Draw,Mid,Low,Good,Neutral,Semi-finals,Gothenburg,1992
Denmark,Germany,Won,Mid,High,Neutral,Good,Final,Gothenburg,1992
England,Switzerland,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,London,1996
Netherlands,Scotland,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Birmingham,1996
Switzerland,Netherlands,Lost,Mid,Low,Neutral,Neutral,Group A,Birmingham,1996
Scotland,England,Lost,Low,Mid,Neutral,Neutral,Group A,London,1996
Scotland,Switzerland,Won,Low,Low,Bad,Bad,Group A,Birmingham,1996
Netherlands,England,Lost,Mid,High,Good,Good,Group A,London,1996
Spain,Bulgaria,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Leeds,1996
Romania,France,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Newcastle,1996
Bulgaria,Romania,Won,Mid,Low,Neutral,Bad,Group B,Newcastle,1996
France,Spain,Draw,Mid,Mid,Good,Neutral,Group B,Leeds,1996
France,Bulgaria,Won,Mid,Mid,Good,Good,Group B,Newcastle,1996
Romania,Spain,Lost,Low,Mid,Bad,Neutral,Group B,Leeds,1996
Germany,Czech Republic,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group C,Manchester,1996
Italy,Russia,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group C,Liverpool,1996
Czech Republic,Italy,Won,Low,High,Bad,Good,Group C,Liverpool,1996
Russia,Germany,Lost,Mid,High,Bad,Good,Group C,Manchester,1996
Russia,Czech Republic,Draw,Low,Mid,Bad,Neutral,Group C,Liverpool,1996
Italy,Germany,Draw,High,High,Neutral,Good,Group C,Manchester,1996
Denmark,Portugal,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group D,Sheffield,1996
Turkey,Croatia,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group D,Nottingham,1996
Portugal,Turkey,Won,Mid,Low,Neutral,Bad,Group D,Nottingham,1996
Croatia,Denmark,Won,Mid,Mid,Good,Neutral,Group D,Sheffield,1996
Croatia,Portugal,Lost,High,Mid,Good,Good,Group D,Nottingham,1996
Turkey,Denmark,Lost,Low,Low,Bad,Bad,Group D,Sheffield,1996
Spain,England,Draw,Mid,High,Good,Good,Quarter-finals,London,1996
France,Netherlands,Draw,High,Mid,Good,Neutral,Quarter-finals,Liverpool,1996
Germany,Croatia,Won,High,Mid,Good,Good,Quarter-finals,Manchester,1996
Czech Republic,Portugal,Won,High,High,Neutral,Good,Quarter-finals,Birmingham,1996
France,Czech Republic,Draw,Mid,High,Good,Good,Semi-finals,Manchester,1996
Germany,England,Draw,High,High,Good,Good,Semi-finals,London,1996
Czech Republic,Germany,Lost,Mid,High,Good,Good,Final,London,1996
Germany,Romania,Draw,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Liège,2000
Portugal,England,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group A,Eindhoven,2000
Romania,Portugal,Lost,Mid,High,Neutral,Good,Group A,Arnhem,2000
England,Germany,Won,High,Mid,Bad,Neutral,Group A,Charleroi,2000
England,Romania,Lost,High,Low,Neutral,Bad,Group A,Charleroi,2000
Portugal,Germany,Won,High,Low,Good,Bad,Group A,Rotterdam,2000
Belgium,Sweden,Won,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Brussels,2000
Turkey,Italy,Lost,NoGamePlayed,NoGamePlayed,Neutral,Neutral,Group B,Arnhem,2000
Italy,Belgium,Won,High,High,Good,Good,Group B,Brussels,2000
Sweden,Turkey,Draw,Mid,Mid,Bad,Bad,Group B,Eindhoven,2000
